dataset,sut,pollution_group,total_files,failed_files,poor_files,error_files,failure_rate,poor_rate,error_rate,avg_header_f1,avg_record_f1,avg_cell_f1,min_cell_f1,worst_file
polluted_files,clevercs,ALL,2290,0,756,756,0.000000,0.330131,0.330131,0.975014,0.839681,0.903536,0.111111,file_field_delimiter_0x2C_0x20.csv
polluted_files,clevercs,Double trailing newline,1,0,0,0,0.000000,0.000000,0.000000,1.000000,0.994012,1.000000,1.000000,file_double_trailing_newline.csv
polluted_files,clevercs,Empty file (0 bytes),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_no_payload.csv
polluted_files,clevercs,Extra delimiter in one single row,756,0,0,0,0.000000,0.000000,0.000000,0.999373,1.000000,0.999339,0.999339,row_more_sep_row17_col6.csv
polluted_files,clevercs,Extra unescaped quote in one single row,756,0,746,746,0.000000,0.986772,0.986772,0.933862,0.529757,0.714420,0.407609,row_extra_quote25_col0.csv
polluted_files,clevercs,"Header row only, no data",1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_header_only.csv
polluted_files,clevercs,Missing delimiter in one single row,672,0,0,0,0.000000,0.000000,0.000000,0.997899,0.991071,0.998178,0.998015,row_less_sep_row57_col2.csv
polluted_files,clevercs,Missing trailing newline,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_no_trailing_newline.csv
polluted_files,clevercs,Multi-row header (2 rows),1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.994012,0.982249,0.982249,file_header_multirow_2.csv
polluted_files,clevercs,Multi-row header (3 rows),1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.988095,0.976471,0.976471,file_header_multirow_3.csv
polluted_files,clevercs,No header row,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_no_header.csv
polluted_files,clevercs,Non-standard escape character (0x00),1,0,1,1,0.000000,1.000000,1.000000,0.777778,0.000000,0.664277,0.664277,file_escape_char_0x00.csv
polluted_files,clevercs,Non-standard escape character (0x5C),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_escape_char_0x5C.csv
polluted_files,clevercs,Non-standard field delimiter (0x20),1,0,1,1,0.000000,1.000000,1.000000,1.000000,0.409639,0.880997,0.880997,file_field_delimiter_0x20.csv
polluted_files,clevercs,Non-standard field delimiter (0x2C_0x20),1,0,1,1,0.000000,1.000000,1.000000,0.111111,0.000000,0.111111,0.111111,file_field_delimiter_0x2C_0x20.csv
polluted_files,clevercs,Non-standard field delimiter (0x3B),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_field_delimiter_0x3B.csv
polluted_files,clevercs,Non-standard field delimiter (0x9),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_field_delimiter_0x9.csv
polluted_files,clevercs,Non-standard quotation character (0x27),1,0,1,1,0.000000,1.000000,1.000000,0.777778,0.000000,0.664277,0.664277,file_quotation_char_0x27.csv
polluted_files,clevercs,Non-standard record delimiter (0xA),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_record_delimiter_0xA.csv
polluted_files,clevercs,Non-standard record delimiter (0xD),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_record_delimiter_0xD.csv
polluted_files,clevercs,One single row uses space as field delimiter,84,0,0,0,0.000000,0.000000,0.000000,0.988095,0.988095,0.993351,0.993351,row_field_delimiter_29_0x20.csv
polluted_files,clevercs,Preamble rows before header,1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.988095,0.988235,0.988235,file_preamble.csv
polluted_files,clevercs,Single data row,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_one_data_row.csv
polluted_files,clevercs,Two tables with the same number of columns,1,0,1,1,0.000000,1.000000,1.000000,1.000000,0.666667,0.669323,0.669323,file_multitable_same.csv
polluted_files,clevercs,"Two tables, first has fewer columns",1,0,1,1,0.000000,1.000000,1.000000,1.000000,0.666667,0.694853,0.694853,file_multitable_less.csv
polluted_files,clevercs,"Two tables, first has more columns",1,0,1,1,0.000000,1.000000,1.000000,1.000000,0.666667,0.645602,0.645602,file_multitable_more.csv
polluted_files,clevercs,Unknown,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,source.csv
polluted_files,csvcommons,ALL,2290,762,6,768,0.332751,0.002620,0.335371,0.664756,0.663921,0.666100,0.000000,row_extra_quote80_col1.csv
polluted_files,csvcommons,Double trailing newline,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_double_trailing_newline.csv
polluted_files,csvcommons,Empty file (0 bytes),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_no_payload.csv
polluted_files,csvcommons,Extra delimiter in one single row,756,0,0,0,0.000000,0.000000,0.000000,0.999373,1.000000,0.999339,0.999339,row_more_sep_row17_col6.csv
polluted_files,csvcommons,Extra unescaped quote in one single row,756,756,0,756,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,row_extra_quote80_col1.csv
polluted_files,csvcommons,"Header row only, no data",1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_header_only.csv
polluted_files,csvcommons,Missing delimiter in one single row,672,1,0,1,0.001488,0.000000,0.001488,0.996674,0.989583,0.996585,0.000000,row_less_sep_row0_col8.csv
polluted_files,csvcommons,Missing trailing newline,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_no_trailing_newline.csv
polluted_files,csvcommons,Multi-row header (2 rows),1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.994012,0.982249,0.982249,file_header_multirow_2.csv
polluted_files,csvcommons,Multi-row header (3 rows),1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.988095,0.976471,0.976471,file_header_multirow_3.csv
polluted_files,csvcommons,No header row,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_no_header.csv
polluted_files,csvcommons,Non-standard escape character (0x00),1,1,0,1,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,file_escape_char_0x00.csv
polluted_files,csvcommons,Non-standard escape character (0x5C),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_escape_char_0x5C.csv
polluted_files,csvcommons,Non-standard field delimiter (0x20),1,0,1,1,0.000000,1.000000,1.000000,1.000000,0.409639,0.880997,0.880997,file_field_delimiter_0x20.csv
polluted_files,csvcommons,Non-standard field delimiter (0x2C_0x20),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_field_delimiter_0x2C_0x20.csv
polluted_files,csvcommons,Non-standard field delimiter (0x3B),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_field_delimiter_0x3B.csv
polluted_files,csvcommons,Non-standard field delimiter (0x9),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_field_delimiter_0x9.csv
polluted_files,csvcommons,Non-standard quotation character (0x27),1,1,0,1,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,file_quotation_char_0x27.csv
polluted_files,csvcommons,Non-standard record delimiter (0xA),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_record_delimiter_0xA.csv
polluted_files,csvcommons,Non-standard record delimiter (0xD),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_record_delimiter_0xD.csv
polluted_files,csvcommons,One single row uses space as field delimiter,84,0,2,2,0.000000,0.023810,0.023810,0.988095,0.988095,0.992080,0.989404,row_field_delimiter_34_0x20.csv
polluted_files,csvcommons,Preamble rows before header,1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.988095,0.988235,0.988235,file_preamble.csv
polluted_files,csvcommons,Single data row,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_one_data_row.csv
polluted_files,csvcommons,Two tables with the same number of columns,1,1,0,1,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,file_multitable_same.csv
polluted_files,csvcommons,"Two tables, first has fewer columns",1,1,0,1,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,file_multitable_less.csv
polluted_files,csvcommons,"Two tables, first has more columns",1,1,0,1,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,file_multitable_more.csv
polluted_files,csvcommons,Unknown,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,source.csv
polluted_files,dataviz,ALL,2290,0,2289,2289,0.000000,0.999563,0.999563,0.679371,0.000873,0.641535,0.000000,file_header_only.csv
polluted_files,dataviz,Double trailing newline,1,0,1,1,0.000000,1.000000,1.000000,0.777778,0.000000,0.769231,0.769231,file_double_trailing_newline.csv
polluted_files,dataviz,Empty file (0 bytes),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_no_payload.csv
polluted_files,dataviz,Extra delimiter in one single row,756,0,756,756,0.000000,1.000000,1.000000,0.736842,0.000000,0.733083,0.731830,row_more_sep_row10_col0.csv
polluted_files,dataviz,Extra unescaped quote in one single row,756,0,756,756,0.000000,1.000000,1.000000,0.575029,0.000000,0.484816,0.381944,row_extra_quote57_col2.csv
polluted_files,dataviz,"Header row only, no data",1,0,1,1,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,file_header_only.csv
polluted_files,dataviz,Missing delimiter in one single row,672,0,672,672,0.000000,1.000000,1.000000,0.749959,0.000000,0.735004,0.381944,row_less_sep_row61_col6.csv
polluted_files,dataviz,Missing trailing newline,1,0,1,1,0.000000,1.000000,1.000000,0.777778,0.000000,0.773810,0.773810,file_no_trailing_newline.csv
polluted_files,dataviz,Multi-row header (2 rows),1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.000000,0.763971,0.763971,file_header_multirow_2.csv
polluted_files,dataviz,Multi-row header (3 rows),1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.000000,0.759477,0.759477,file_header_multirow_3.csv
polluted_files,dataviz,No header row,1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.000000,0.773120,0.773120,file_no_header.csv
polluted_files,dataviz,Non-standard escape character (0x00),1,0,1,1,0.000000,1.000000,1.000000,0.500000,0.000000,0.382937,0.382937,file_escape_char_0x00.csv
polluted_files,dataviz,Non-standard escape character (0x5C),1,0,1,1,0.000000,1.000000,1.000000,0.500000,0.000000,0.382937,0.382937,file_escape_char_0x5C.csv
polluted_files,dataviz,Non-standard field delimiter (0x20),1,0,1,1,0.000000,1.000000,1.000000,0.608696,0.000000,0.554865,0.554865,file_field_delimiter_0x20.csv
polluted_files,dataviz,Non-standard field delimiter (0x2C_0x20),1,0,1,1,0.000000,1.000000,1.000000,0.777778,0.000000,0.773810,0.773810,file_field_delimiter_0x2C_0x20.csv
polluted_files,dataviz,Non-standard field delimiter (0x3B),1,0,1,1,0.000000,1.000000,1.000000,0.777778,0.000000,0.773810,0.773810,file_field_delimiter_0x3B.csv
polluted_files,dataviz,Non-standard field delimiter (0x9),1,0,1,1,0.000000,1.000000,1.000000,0.777778,0.000000,0.773810,0.773810,file_field_delimiter_0x9.csv
polluted_files,dataviz,Non-standard quotation character (0x27),1,0,1,1,0.000000,1.000000,1.000000,0.500000,0.000000,0.382937,0.382937,file_quotation_char_0x27.csv
polluted_files,dataviz,Non-standard record delimiter (0xA),1,0,1,1,0.000000,1.000000,1.000000,0.777778,0.000000,0.773810,0.773810,file_record_delimiter_0xA.csv
polluted_files,dataviz,Non-standard record delimiter (0xD),1,0,1,1,0.000000,1.000000,1.000000,0.777778,0.000000,0.773810,0.773810,file_record_delimiter_0xD.csv
polluted_files,dataviz,One single row uses space as field delimiter,84,0,84,84,0.000000,1.000000,1.000000,0.566799,0.000000,0.480619,0.378968,row_field_delimiter_29_0x20.csv
polluted_files,dataviz,Preamble rows before header,1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.000000,0.766013,0.766013,file_preamble.csv
polluted_files,dataviz,Single data row,1,0,1,1,0.000000,1.000000,1.000000,0.777778,0.000000,0.611111,0.611111,file_one_data_row.csv
polluted_files,dataviz,Two tables with the same number of columns,1,0,1,1,0.000000,1.000000,1.000000,0.777778,0.000000,0.520584,0.520584,file_multitable_same.csv
polluted_files,dataviz,"Two tables, first has fewer columns",1,0,1,1,0.000000,1.000000,1.000000,0.777778,0.000000,0.520584,0.520584,file_multitable_less.csv
polluted_files,dataviz,"Two tables, first has more columns",1,0,1,1,0.000000,1.000000,1.000000,0.736842,0.000000,0.484749,0.484749,file_multitable_more.csv
polluted_files,dataviz,Unknown,1,0,1,1,0.000000,1.000000,1.000000,0.777778,0.000000,0.773810,0.773810,source.csv
polluted_files,duckdbauto,ALL,2290,0,1343,1343,0.000000,0.586463,0.586463,0.981313,0.923273,0.975232,0.123512,file_field_delimiter_0x20.csv
polluted_files,duckdbauto,Double trailing newline,1,0,0,0,0.000000,0.000000,0.000000,1.000000,0.927711,0.992063,0.992063,file_double_trailing_newline.csv
polluted_files,duckdbauto,Empty file (0 bytes),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_no_payload.csv
polluted_files,duckdbauto,Extra delimiter in one single row,756,0,9,9,0.000000,0.011905,0.011905,0.999373,0.927711,0.991442,0.939850,row_more_sep_row0_col7.csv
polluted_files,duckdbauto,Extra unescaped quote in one single row,756,0,661,661,0.000000,0.874339,0.874339,0.955860,0.926593,0.950777,0.551587,row_extra_quote83_col8.csv
polluted_files,duckdbauto,"Header row only, no data",1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_header_only.csv
polluted_files,duckdbauto,Missing delimiter in one single row,672,0,577,577,0.000000,0.858631,0.858631,0.996135,0.919428,0.987304,0.848073,row_less_sep_row44_col6.csv
polluted_files,duckdbauto,Missing trailing newline,1,0,0,0,0.000000,0.000000,0.000000,1.000000,0.927711,0.992063,0.992063,file_no_trailing_newline.csv
polluted_files,duckdbauto,Multi-row header (2 rows),1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.922156,0.974359,0.974359,file_header_multirow_2.csv
polluted_files,duckdbauto,Multi-row header (3 rows),1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.916667,0.968627,0.968627,file_header_multirow_3.csv
polluted_files,duckdbauto,No header row,1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.921212,0.986028,0.986028,file_no_header.csv
polluted_files,duckdbauto,Non-standard escape character (0x00),1,0,1,1,0.000000,1.000000,1.000000,0.900000,0.927711,0.886905,0.886905,file_escape_char_0x00.csv
polluted_files,duckdbauto,Non-standard escape character (0x5C),1,0,1,1,0.000000,1.000000,1.000000,0.900000,0.927711,0.886905,0.886905,file_escape_char_0x5C.csv
polluted_files,duckdbauto,Non-standard field delimiter (0x20),1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.000000,0.123512,0.123512,file_field_delimiter_0x20.csv
polluted_files,duckdbauto,Non-standard field delimiter (0x2C_0x20),1,0,1,1,0.000000,1.000000,1.000000,1.000000,0.000000,0.485450,0.485450,file_field_delimiter_0x2C_0x20.csv
polluted_files,duckdbauto,Non-standard field delimiter (0x3B),1,0,0,0,0.000000,0.000000,0.000000,1.000000,0.927711,0.992063,0.992063,file_field_delimiter_0x3B.csv
polluted_files,duckdbauto,Non-standard field delimiter (0x9),1,0,0,0,0.000000,0.000000,0.000000,1.000000,0.927711,0.992063,0.992063,file_field_delimiter_0x9.csv
polluted_files,duckdbauto,Non-standard quotation character (0x27),1,0,1,1,0.000000,1.000000,1.000000,0.900000,0.710843,0.867857,0.867857,file_quotation_char_0x27.csv
polluted_files,duckdbauto,Non-standard record delimiter (0xA),1,0,0,0,0.000000,0.000000,0.000000,1.000000,0.927711,0.992063,0.992063,file_record_delimiter_0xA.csv
polluted_files,duckdbauto,Non-standard record delimiter (0xD),1,0,0,0,0.000000,0.000000,0.000000,1.000000,0.927711,0.992063,0.992063,file_record_delimiter_0xD.csv
polluted_files,duckdbauto,One single row uses space as field delimiter,84,0,84,84,0.000000,1.000000,1.000000,0.988095,0.916601,0.981491,0.974359,row_field_delimiter_0_0x20.csv
polluted_files,duckdbauto,Preamble rows before header,1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.916667,0.980392,0.980392,file_preamble.csv
polluted_files,duckdbauto,Single data row,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_one_data_row.csv
polluted_files,duckdbauto,Two tables with the same number of columns,1,0,1,1,0.000000,1.000000,1.000000,1.000000,0.618474,0.664011,0.664011,file_multitable_same.csv
polluted_files,duckdbauto,"Two tables, first has fewer columns",1,0,1,1,0.000000,1.000000,1.000000,1.000000,0.618474,0.664011,0.664011,file_multitable_less.csv
polluted_files,duckdbauto,"Two tables, first has more columns",1,0,1,1,0.000000,1.000000,1.000000,0.947368,0.618474,0.618302,0.618302,file_multitable_more.csv
polluted_files,duckdbauto,Unknown,1,0,0,0,0.000000,0.000000,0.000000,1.000000,0.927711,0.992063,0.992063,source.csv
polluted_files,duckdbparse,ALL,2290,0,145,145,0.000000,0.063319,0.063319,0.999563,0.991338,0.996115,0.669323,file_multitable_more.csv
polluted_files,duckdbparse,Double trailing newline,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_double_trailing_newline.csv
polluted_files,duckdbparse,Empty file (0 bytes),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_no_payload.csv
polluted_files,duckdbparse,Extra delimiter in one single row,756,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,row_more_sep_row17_col6.csv
polluted_files,duckdbparse,Extra unescaped quote in one single row,756,0,56,56,0.000000,0.074074,0.074074,1.000000,0.985855,0.993344,0.985274,row_extra_quote77_col7.csv
polluted_files,duckdbparse,"Header row only, no data",1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_header_only.csv
polluted_files,duckdbparse,Missing delimiter in one single row,672,0,0,0,0.000000,0.000000,0.000000,1.000000,0.991071,0.997642,0.994709,row_less_sep_row44_col6.csv
polluted_files,duckdbparse,Missing trailing newline,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_no_trailing_newline.csv
polluted_files,duckdbparse,Multi-row header (2 rows),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_header_multirow_2.csv
polluted_files,duckdbparse,Multi-row header (3 rows),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_header_multirow_3.csv
polluted_files,duckdbparse,No header row,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.993939,0.994012,0.994012,file_no_header.csv
polluted_files,duckdbparse,Non-standard escape character (0x00),1,0,1,1,0.000000,1.000000,1.000000,1.000000,0.927711,0.977513,0.977513,file_escape_char_0x00.csv
polluted_files,duckdbparse,Non-standard escape character (0x5C),1,0,0,0,0.000000,0.000000,0.000000,1.000000,0.987952,0.998677,0.998677,file_escape_char_0x5C.csv
polluted_files,duckdbparse,Non-standard field delimiter (0x20),1,0,1,1,0.000000,1.000000,1.000000,1.000000,0.409639,0.818783,0.818783,file_field_delimiter_0x20.csv
polluted_files,duckdbparse,Non-standard field delimiter (0x2C_0x20),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_field_delimiter_0x2C_0x20.csv
polluted_files,duckdbparse,Non-standard field delimiter (0x3B),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_field_delimiter_0x3B.csv
polluted_files,duckdbparse,Non-standard field delimiter (0x9),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_field_delimiter_0x9.csv
polluted_files,duckdbparse,Non-standard quotation character (0x27),1,0,1,1,0.000000,1.000000,1.000000,1.000000,0.539474,0.802309,0.802309,file_quotation_char_0x27.csv
polluted_files,duckdbparse,Non-standard record delimiter (0xA),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_record_delimiter_0xA.csv
polluted_files,duckdbparse,Non-standard record delimiter (0xD),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_record_delimiter_0xD.csv
polluted_files,duckdbparse,One single row uses space as field delimiter,84,0,83,83,0.000000,0.988095,0.988095,1.000000,0.988095,0.989544,0.989418,row_field_delimiter_29_0x20.csv
polluted_files,duckdbparse,Preamble rows before header,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_preamble.csv
polluted_files,duckdbparse,Single data row,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_one_data_row.csv
polluted_files,duckdbparse,Two tables with the same number of columns,1,0,1,1,0.000000,1.000000,1.000000,1.000000,0.666667,0.669323,0.669323,file_multitable_same.csv
polluted_files,duckdbparse,"Two tables, first has fewer columns",1,0,1,1,0.000000,1.000000,1.000000,1.000000,0.666667,0.669323,0.669323,file_multitable_less.csv
polluted_files,duckdbparse,"Two tables, first has more columns",1,0,1,1,0.000000,1.000000,1.000000,1.000000,0.666667,0.669323,0.669323,file_multitable_more.csv
polluted_files,duckdbparse,Unknown,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,source.csv
polluted_files,libreoffice,ALL,2290,0,213,213,0.000000,0.093013,0.093013,0.991447,0.991149,0.992135,0.123512,file_field_delimiter_0x9.csv
polluted_files,libreoffice,Double trailing newline,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_double_trailing_newline.csv
polluted_files,libreoffice,Empty file (0 bytes),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_no_payload.csv
polluted_files,libreoffice,Extra delimiter in one single row,756,0,9,9,0.000000,0.011905,0.011905,0.999373,1.000000,0.999373,0.947368,row_more_sep_row0_col7.csv
polluted_files,libreoffice,Extra unescaped quote in one single row,756,0,89,89,0.000000,0.117725,0.117725,0.988343,0.990577,0.987826,0.897543,row_extra_quote59_col8.csv
polluted_files,libreoffice,"Header row only, no data",1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_header_only.csv
polluted_files,libreoffice,Missing delimiter in one single row,672,0,18,18,0.000000,0.026786,0.026786,0.996829,0.991062,0.996047,0.897619,row_less_sep_row44_col6.csv
polluted_files,libreoffice,Missing trailing newline,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_no_trailing_newline.csv
polluted_files,libreoffice,Multi-row header (2 rows),1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.994012,0.982249,0.982249,file_header_multirow_2.csv
polluted_files,libreoffice,Multi-row header (3 rows),1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.988095,0.976471,0.976471,file_header_multirow_3.csv
polluted_files,libreoffice,No header row,1,0,1,1,0.000000,1.000000,1.000000,0.941176,1.000000,0.941176,0.941176,file_no_header.csv
polluted_files,libreoffice,Non-standard escape character (0x00),1,0,0,0,0.000000,0.000000,0.000000,1.000000,0.963855,0.992063,0.992063,file_escape_char_0x00.csv
polluted_files,libreoffice,Non-standard escape character (0x5C),1,0,1,1,0.000000,1.000000,1.000000,1.000000,0.927711,0.988095,0.988095,file_escape_char_0x5C.csv
polluted_files,libreoffice,Non-standard field delimiter (0x20),1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.000000,0.123512,0.123512,file_field_delimiter_0x20.csv
polluted_files,libreoffice,Non-standard field delimiter (0x2C_0x20),1,0,1,1,0.000000,1.000000,1.000000,0.333333,0.000000,0.485450,0.485450,file_field_delimiter_0x2C_0x20.csv
polluted_files,libreoffice,Non-standard field delimiter (0x3B),1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.000000,0.123512,0.123512,file_field_delimiter_0x3B.csv
polluted_files,libreoffice,Non-standard field delimiter (0x9),1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.000000,0.123512,0.123512,file_field_delimiter_0x9.csv
polluted_files,libreoffice,Non-standard quotation character (0x27),1,0,1,1,0.000000,1.000000,1.000000,0.608696,0.000000,0.575569,0.575569,file_quotation_char_0x27.csv
polluted_files,libreoffice,Non-standard record delimiter (0xA),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_record_delimiter_0xA.csv
polluted_files,libreoffice,Non-standard record delimiter (0xD),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_record_delimiter_0xD.csv
polluted_files,libreoffice,One single row uses space as field delimiter,84,0,84,84,0.000000,1.000000,1.000000,0.988095,0.988095,0.988827,0.939776,row_field_delimiter_0_0x20.csv
polluted_files,libreoffice,Preamble rows before header,1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.988095,0.988235,0.988235,file_preamble.csv
polluted_files,libreoffice,Single data row,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_one_data_row.csv
polluted_files,libreoffice,Two tables with the same number of columns,1,0,1,1,0.000000,1.000000,1.000000,1.000000,0.666667,0.669323,0.669323,file_multitable_same.csv
